dish,price,ingredient,recipe_amount
lasanha presunto,25.90,queijo mussarela,15
lasanha presunto,25.90,tomate,10
lasanha presunto,25.90,farinha de trigo,10
lasanha presunto,25.90,sal,5
lasanha presunto,25.90,água,10
lasanha presunto,25.90,presunto,15
lasanha berinjela,27.00,queijo mussarela,15
lasanha berinjela,27.00,tomate,10
lasanha berinjela,27.00,farinha de trigo,10
lasanha berinjela,27.00,sal,5
lasanha berinjela,27.00,água,10
lasanha berinjela,27.00,berinjela,15
lasanha bolonhesa,42.90,massa de lasanha,20
lasanha bolonhesa,42.90,carne,25
lasanha bolonhesa,42.90,queijo mussarela,20
lasanha bolonhesa,42.90,molho de tomate,20
lasanha bolonhesa,42.90,cebola,8
lasanha bolonhesa,42.90,alho,5
feijoada completa,39.90,feijão preto,35
feijoada completa,39.90,carne,20
feijoada completa,39.90,bacon,12
feijoada completa,39.90,linguiça,15
feijoada completa,39.90,arroz,25
feijoada completa,39.90,couve,12
feijoada completa,39.90,farinha de mandioca,10
feijoada completa,39.90,vinagrete,10
escondidinho carne de sol,46.90,carne de sol,30
escondidinho carne de sol,46.90,macaxeira,35
escondidinho carne de sol,46.90,queijo mussarela,15
escondidinho carne de sol,46.90,requeijão,12
escondidinho carne de sol,46.90,cebola,8
frango assado batatas,54.90,frango,50
frango assado batatas,54.90,batata,35
frango assado batatas,54.90,alho,8
frango assado batatas,54.90,cebola,10
frango assado batatas,54.90,azeite,8
frango assado batatas,54.90,orégano,5
